# sresa2_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1954-03-15T00:00:00Z,0.47469896,0.3628759,0.96092016,0.18588702,0.50407034,0.43769246,0.5153502,1.6285629,0.4256585,0.5467376,1.3451583,0.3525257,1.4723978,1.1138624
1954-04-15T00:00:00Z,0.33070552,0.2908288,1.844865,0.016790224,1.0507236,1.6220065,0.80108416,3.5865257,2.4083543,0.2762015,1.8907152,0.046185013,3.1153517,2.6292086
1954-05-15T00:00:00Z,0.16746761,0.10887937,0.34086865,0.33749753,0.23107861,0.8897842,0.07167336,1.6548663,0.77235955,0.008873855,0.5559601,0.54647726,0.8977111,0.99645865
1954-06-15T00:00:00Z,0.14142326,0.16098425,0.24964438,0.1588978,0.2909355,1.8001631,0.15211625,0.5549849,1.0617828,0.11413296,1.2232444,0.43595898,0.52411276,0.9409492
1954-07-15T00:00:00Z,1.574019,1.1398104,0.46428886,2.3737433,0.45442334,2.0618649,0.5516981,0.4591813,1.1181376,0.73948205,2.3060226,2.8306353,0.41235796,0.841327
1954-08-15T00:00:00Z,2.308564,1.920534,1.4970759,1.861741,1.2849827,1.1857667,1.2207308,0.6402288,0.597709,1.6918244,1.865857,1.8756102,1.37785,0.9501847
1954-09-15T00:00:00Z,1.2619646,0.9402645,0.038731318,1.9589674,0.21313965,0.2916366,0.06951087,0.4230806,0.5507199,0.26999015,0.9355416,2.0613291,0.11786563,0.2512167
1954-10-15T00:00:00Z,2.0312715,1.7075043,3.1169198,1.1449105,2.3445926,0.70671386,1.8070015,2.401652,1.2579005,1.4688888,2.0444129,1.0606598,3.6201262,2.2337804
1954-11-15T00:00:00Z,0.59692544,0.44060215,0.72829705,0.36322674,0.458104,0.32650882,0.38765866,2.0291185,1.1372064,0.78656596,0.883065,0.3618856,1.2433455,0.880707
1954-12-15T00:00:00Z,0.15413626,0.110239275,0.30544686,0.11630882,0.2578335,0.14563227,0.08720148,1.0809427,0.23192263,0.03893311,0.5874159,0.1450086,0.83362985,0.53699774
1955-01-16T00:00:00Z,0.19325648,0.13849303,0.63120717,0.13184915,0.42940322,0.27593434,0.24294725,2.6106994,0.58252954,0.10226159,0.81940466,0.086873,1.7495079,1.2129443
