# sresa2_miroc3-2-medres_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1955-10-15T00:00:00Z,1.5749756,1.3704712,1.9760325,0.8855306,1.8756108,0.84425277,0.8892684,1.8868213,0.9149736,0.68905675,2.0504591,0.86914724,2.8899326,2.0828502
1955-11-15T00:00:00Z,1.067601,0.83615553,2.3295143,0.5737023,1.3130085,0.5837638,1.0972483,2.6023626,1.2478439,0.72724426,1.8602266,0.44887042,2.787013,1.6573004
1955-12-15T00:00:00Z,0.9804589,0.74364233,2.6216488,0.18293697,1.661275,0.64967364,1.462762,5.1222105,1.4465208,0.94937545,2.7597868,0.30215037,4.7344327,2.8260007
1956-01-16T00:00:00Z,0.25041607,0.19260076,0.45919567,0.14111921,0.3297953,0.49914768,0.25945684,1.3530991,0.9470183,0.16804667,1.3451216,0.19571754,0.97775954,0.97887933
1956-02-16T00:00:00Z,1.6087782,1.1725862,4.7885747,0.497968,1.6725023,0.59532595,3.3535397,2.4722083,1.626119,2.374626,2.1113894,0.52248764,4.0353723,1.9984506
1956-03-15T00:00:00Z,0.44972607,0.32264692,0.75812256,0.39068285,0.3341852,0.5004984,0.39648432,1.2527198,0.74337316,0.32480684,1.1120722,0.3519299,1.1285641,1.0232124
1956-04-15T00:00:00Z,0.6466941,0.5313086,1.9181819,0.13936913,0.9483395,1.213644,1.0881705,1.2297685,0.9446553,0.7527731,1.7050081,0.19896913,2.337191,1.7293727
1956-05-15T00:00:00Z,0.54937947,0.4685818,0.72814626,0.26927722,0.56314045,1.28252,0.3516078,1.9352316,1.8142005,0.30086142,1.084185,0.5435923,1.2447413,1.1443846
1956-06-15T00:00:00Z,0.1872922,0.15824533,0.17657249,0.16780795,0.24120545,1.8906481,0.07258435,2.7382896,2.0157866,0.16651285,0.6753611,0.26666045,0.76510066,1.1507092
1956-07-15T00:00:00Z,1.5609016,1.1458858,0.9329057,1.3745204,0.73695153,1.2650943,0.7828309,1.3428817,1.4856802,1.1752431,1.0949858,1.3688563,1.1758896,1.0643213
1956-08-15T00:00:00Z,2.5208566,2.0718548,1.8501234,2.9622874,1.5076416,1.0807709,1.2547746,1.5300642,0.43533337,1.4514986,2.2909813,2.8511686,2.2172852,1.4790479
1956-09-15T00:00:00Z,1.5742593,1.1714109,0.96133536,2.672078,1.133701,1.3514192,0.6753858,2.4204614,0.84047997,0.6462255,2.001987,2.8016932,1.834585,2.001449
1956-10-15T00:00:00Z,0.43824452,0.3754545,1.3416517,0.06699346,0.78312564,0.30165464,0.7161609,1.3622754,0.86202925,0.6253776,0.4225953,0.036612436,1.996791,1.4730849
1956-11-15T00:00:00Z,0.8277312,0.62267697,0.38255647,1.0018224,0.47878444,0.44754204,0.29654714,0.39952475,0.39001647,0.68215096,1.710671,0.84999406,0.41957167,0.49011227
1956-12-15T00:00:00Z,0.7867913,0.547232,0.3535209,0.7580221,0.3420874,0.30472216,0.26378804,0.8432039,0.5129171,0.4983931,1.3233472,0.7879421,0.54660594,0.46437213
1957-01-16T00:00:00Z,1.5284607,1.0209273,2.4123292,0.45464796,1.284663,0.41922033,2.1621082,1.783068,0.5139649,2.6787384,2.0974994,0.4140291,2.7689893,1.5176257
1957-02-16T00:00:00Z,0.5268919,0.37907133,1.3379501,0.2037619,0.48357296,0.3869578,0.83988446,2.023974,0.7823403,0.85007566,1.1221828,0.18876067,1.5869699,1.0467134
1957-03-15T00:00:00Z,0.5589047,0.40958726,0.66531163,0.32348242,0.29276484,0.6247955,0.37723657,0.6311362,0.5317965,0.36400297,1.448067,0.31418094,0.7758752,0.829144
1957-04-15T00:00:00Z,0.21834265,0.20730762,0.81499857,0.036205333,0.60943663,1.2886984,0.28095317,1.6006538,1.8110777,0.07864076,1.3228815,0.06568906,1.6013111,1.5991591
1957-05-15T00:00:00Z,1.1580012,0.8380312,0.14731716,1.5435351,0.28346294,1.191757,0.08922078,0.7264916,0.6696862,0.12044791,1.8610989,2.678782,0.36813247,0.6848191
1957-06-15T00:00:00Z,0.3990815,0.38550448,0.6243991,0.5415456,1.0662551,3.3409941,0.20142359,2.3177295,1.9596252,0.096197106,2.4993975,0.79053545,2.1899736,3.1204543
